usgs_site_no,name,basin
09239500,Yampa at Steamboat,Yampa & White
09251000,Yampa near Maybell,Yampa & White
09304500,White at Meeker,Yampa & White
09058000,Colorado nr Kremmling,Colorado headwaters
09070500,Eagle below Gypsum,Colorado headwaters
09085100,Colorado at Glenwood,Colorado headwaters
09085000,Roaring Fork at Glenwood,Colorado headwaters
09095500,Colorado near Cameo,Colorado headwaters
09163500,Colorado River → UTAH,Colorado headwaters
09114500,Gunnison nr Gunnison,Gunnison
09152500,Gunnison nr Grand Jct,Gunnison
09361500,Animas at Durango,San Juan & Dolores
09355500,San Juan nr Archuleta,San Juan & Dolores
06714000,S. Platte at Denver,South Platte
06752000,Poudre at Fort Collins,South Platte
06754000,S. Platte at Kersey,South Platte
07094500,Arkansas at Parkdale,Arkansas
08220000,Rio Grande at Del Norte,Rio Grande
