id,name,lat,lon,basin,river,role,capacity_af,storage_af,pct_of_median_1991_2020,confidence,as_of,source,dwr_telemetry_abbrev
granby,Lake Granby,40.15,-105.91,Colorado headwaters,Colorado River,water supply,539758,366074,84,observed,7 Jun 2026,USBR ARCWEB,GRARESCO
shadow,Shadow Mountain,40.222,-105.848,Colorado headwaters,Colorado River,water supply,18369,17450,99,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",SHARESCO
willow,Willow Creek Res.,40.143,-106.018,Colorado headwaters,Willow Creek,water supply,10553,7280,80,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",WILRESCO
wmsfork,Williams Fork Res.,39.958,-106.203,Colorado headwaters,Williams Fork,water supply,96822,42094,56,observed,16 Jul 2026,Denver Water CSV,WLFRESCO
wolford,Wolford Mountain,40.1,-106.34,Colorado headwaters,Muddy Creek,water supply,65985,41400,80,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",
greenmtn,Green Mountain,39.88,-106.33,Colorado headwaters,Blue River,water supply,154645,34947,50,observed,22 Jul 2026,USBR via Snoflo,GRERESCO
dillon,Dillon Reservoir,39.61,-106.06,Colorado headwaters,Blue River,water supply,257304,199482,82,observed,16 Jul 2026,Denver Water CSV,DILRESCO
ruedi,Ruedi Reservoir,39.362,-106.82,Colorado headwaters,Fryingpan River,water supply,102373,70170,102,observed,15 Jul 2026,USBR via Snoflo,RUERESCO
homestake,Homestake Res.,39.42,-106.42,Colorado headwaters,Homestake Creek,water supply,43600,31400,80,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",HOMRESCO
vega,Vega Reservoir,39.23,-107.79,Colorado headwaters,Plateau Creek,water supply,33171,23900,80,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",
riflegap,Rifle Gap,39.63,-107.75,Colorado headwaters,Rifle Creek,water supply,13600,9800,80,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",RIFRESCO
taylor,Taylor Park Res.,38.82,-106.6,Gunnison,Taylor River,water supply,106225,66900,70,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",
bluemesa,Blue Mesa Res.,38.46,-107.2,Gunnison,Gunnison River,water supply,940700,259379,54,observed,17 Jul 2026,USBR via Snoflo,BLMRESCO
morrow,Morrow Point,38.48,-107.42,Gunnison,Gunnison River,water supply,117190,114834,99,observed,29 Jun 2026,USBR,
crystalg,Crystal Reservoir,38.51,-107.58,Gunnison,Gunnison River,water supply,25236,22700,97,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",
paonia,Paonia Reservoir,38.99,-107.34,Gunnison,N. Fork Gunnison,water supply,20950,13200,70,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",
ridgway,Ridgway Reservoir,38.2,-107.75,Gunnison,Uncompahgre River,water supply,84590,53300,70,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",
crawford,Crawford Res.,38.71,-107.6,Gunnison,Smith Fork,water supply,14395,9070,70,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",
stagecoach,Stagecoach Res.,40.28,-106.86,Yampa & White,Yampa River,water supply,33275,23300,78,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",
steamboatl,Steamboat Lake,40.79,-106.95,Yampa & White,Willow Creek,water supply,26000,18200,78,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",STELAKCO
elkhead,Elkhead Reservoir,40.55,-107.4,Yampa & White,Elkhead Creek,water supply,25610,17900,78,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",
mcphee,McPhee Reservoir,37.55,-108.6,San Juan & Dolores,Dolores River,water supply,381195,210000,69,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",MCPRESCO
vallecito,Vallecito Res.,37.38,-107.57,San Juan & Dolores,Los Pinos River,water supply,129700,71500,69,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",VALRESCO
lemon,Lemon Reservoir,37.38,-107.66,San Juan & Dolores,Florida River,water supply,40146,22100,69,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",
